TDP,Strategy,Iteration,SuccessRate,AppSetSchedulability,TotalExecutionTime,AverageExecutionTime,CriticalPathLength,Hyperperiod,TotalTasks,ScheduledTasks,Makespan,AlgorithmRuntimeMs
30.00,4,30,0.300000,0.0,107.0,1.3,7.0,40.0,80,48,72,252
30.00,0,31,0.200000,0.0,124.0,1.6,9.2,40.0,80,32,60,232
30.00,1,32,0.200000,0.0,124.0,1.6,9.2,40.0,80,32,59,236
30.00,2,33,0.200000,0.0,124.0,1.6,9.2,40.0,80,32,56,228
30.00,3,34,0.300000,0.0,124.0,1.6,9.2,40.0,80,48,74,217
30.00,4,35,0.300000,0.0,124.0,1.6,9.2,40.0,80,48,75,216
30.00,0,36,0.200000,0.0,122.0,1.5,9.0,40.0,80,32,59,244
30.00,1,37,0.300000,0.0,122.0,1.5,9.0,40.0,80,48,69,246
30.00,2,38,0.300000,0.0,122.0,1.5,9.0,40.0,80,48,75,236
30.00,3,39,0.200000,0.0,122.0,1.5,9.0,40.0,80,32,72,229
30.00,4,40,0.200000,0.0,122.0,1.5,9.0,40.0,80,32,57,232
30.00,0,41,0.200000,0.0,126.0,1.6,9.0,40.0,80,32,62,230
30.00,1,42,0.300000,0.0,126.0,1.6,9.0,40.0,80,48,74,248
30.00,2,43,0.200000,0.0,126.0,1.6,9.0,40.0,80,32,68,240
30.00,3,44,0.200000,0.0,126.0,1.6,9.0,40.0,80,32,58,257
30.00,4,45,0.300000,0.0,126.0,1.6,9.0,40.0,80,48,73,227
30.00,0,46,0.300000,0.0,121.0,1.5,7.4,40.0,80,48,74,242
30.00,1,47,0.300000,0.0,121.0,1.5,7.4,40.0,80,48,75,242
30.00,2,48,0.200000,0.0,121.0,1.5,7.4,40.0,80,32,62,237
30.00,3,49,0.200000,0.0,121.0,1.5,7.4,40.0,80,32,63,251
30.00,4,50,0.200000,0.0,121.0,1.5,7.4,40.0,80,32,66,237
30.00,0,1,0.200000,0.0,130.0,1.6,8.2,40.0,80,32,58,245
30.00,1,2,0.300000,0.0,130.0,1.6,8.2,40.0,80,48,74,253
30.00,2,3,0.300000,0.0,130.0,1.6,8.2,40.0,80,48,69,255
30.00,3,4,0.300000,0.0,130.0,1.6,8.2,40.0,80,48,73,243
30.00,4,5,0.300000,0.0,130.0,1.6,8.2,40.0,80,48,70,238
30.00,0,6,0.300000,0.0,129.0,1.6,7.6,40.0,80,48,70,248
30.00,1,7,0.300000,0.0,129.0,1.6,7.6,40.0,80,48,74,243
30.00,2,8,0.300000,0.0,129.0,1.6,7.6,40.0,80,48,75,242
30.00,3,9,0.200000,0.0,129.0,1.6,7.6,40.0,80,32,60,245
30.00,4,10,0.200000,0.0,129.0,1.6,7.6,40.0,80,32,61,250
30.00,0,11,0.200000,0.0,124.0,1.6,7.2,40.0,80,32,65,230
30.00,1,12,0.200000,0.0,124.0,1.6,7.2,40.0,80,32,59,238
30.00,2,13,0.300000,0.0,124.0,1.6,7.2,40.0,80,48,73,240
30.00,3,14,0.300000,0.0,124.0,1.6,7.2,40.0,80,48,74,243
30.00,4,15,0.200000,0.0,124.0,1.6,7.2,40.0,80,32,67,237
30.00,0,16,0.300000,0.0,126.0,1.6,8.2,40.0,80,48,75,252
30.00,1,17,0.200000,0.0,126.0,1.6,8.2,40.0,80,32,57,257
30.00,2,18,0.200000,0.0,126.0,1.6,8.2,40.0,80,32,68,241
30.00,3,19,0.300000,0.0,126.0,1.6,8.2,40.0,80,48,70,241
30.00,4,20,0.300000,0.0,126.0,1.6,8.2,40.0,80,48,71,248
30.00,0,21,0.200000,0.0,134.0,1.7,8.8,40.0,80,32,66,242
30.00,1,22,0.300000,0.0,134.0,1.7,8.8,40.0,80,48,75,232
30.00,2,23,0.200000,0.0,134.0,1.7,8.8,40.0,80,32,64,237
